1,Parsnip Seeds,20g,Plant these in the spring. Takes 4 days to mature.
1,Bean Starter,60g,Plant these in the spring. Takes 10 days to mature but keeps producing after that. Grows on a trellis.
1,Cauliflower Seeds,80g,Plant these in the spring. Takes 12 days to produce a large cauliflower.
1,Potato Seeds,50g,Plant these in the spring. Takes 6 days to mature and has a chance of yielding multiple potatoes at harvest.
1,Tulip Bulb,20g,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.
1,Kale Seeds,70g,Plant these in the spring. Takes 6 days to mature. Harvest with the scythe.
1,Jazz Seeds,30g,Plant in spring. Takes 7 days to produce a blue puffball flower.
1,Garlic Seeds,40g,Plant these in the spring. Takes 4 days to mature.
1,Rice Shoot,40g,Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe.
2,Melon Seeds,80g,Plant these in the summer. Takes 12 days to mature.
2,Tomato Seeds,50g,Plant these in the summer. Takes 11 days to mature and continues to produce after first harvest.
2,Blueberry Seeds,80g,Plant these in the summer. Takes 13 days to mature and continues to produce after first harvest.
2,Pepper Seeds,40g,Plant these in the summer. Takes 5 days to mature and continues to produce after first harvest.
2,Wheat Seeds,10g,Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe.
2,Radish Seeds,40g,Plant these in the summer. Takes 6 days to mature.
2,Poppy Seeds,100g,Plant in summer. Produces a bright red flower in 7 days.
2,Spangle Seeds,50g,Plant in summer. Takes 8 days to produce a vibrant tropical flower. Assorted colors.
2,Hops Starter,60g,Plant these in the summer. Takes 11 days to grow but keeps producing after that. Grows on a trellis.
2,Corn Seeds,150g,Plant these in the summer or fall. Takes 14 days to mature and continues to produce after first harvest.
2,Sunflower Seeds,200g,Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest.
2,Red Cabbage Seeds,100g,Plant these in the summer. Takes 9 days to mature.
3,Eggplant Seeds,20g,Plant these in the fall. Takes 5 days to mature and continues to produce after first harvest.
3,Corn Seeds,150g,Plant these in the summer or fall. Takes 14 days to mature and continues to produce after first harvest.
3,Pumpkin Seeds,100g,Plant these in the fall. Takes 13 days to mature.
3,Bok Choy Seeds,50g,Plant these in the fall. Takes 4 days to mature.
3,Yam Seeds,60g,Plant these in the fall. Takes 10 days to mature.
3,Cranberry Seeds,240g,Plant these in the fall. Takes 7 days to mature and continues to produce after first harvest.
3,Sunflower Seeds,200g,Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest.
3,Fairy Seeds,200g,Plant in fall. Takes 12 days to produce a mysterious flower. Assorted Colors.
3,Amaranth Seeds,70g,Plant these in the fall. Takes 7 days to grow. Harvest with the scythe.
3,Grape Starter,60g,Plant these in the fall. Takes 10 days to grow but keeps producing after that. Grows on a trellis.
3,Wheat Seeds,10g,Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe.
3,Artichoke Seeds,30g,Plant these in the fall. Takes 8 days to mature.
4,Grass Starter,100g,Place this on your farm to start a new patch of grass.
4,Grass Starter Recipe,1000g,A recipe to make Grass Starter
4,Sugar,100g,Adds sweetness to pastries and candies. Too much can be unhealthy.
4,Wheat Flour,100g,A common cooking ingredient made from crushed wheat seeds.
4,Rice,200g,A basic grain often served under vegetables.
4,Oil,200g,All purpose cooking oil.
4,Vinegar,200g,An aged fermented liquid used in many cooking recipes.
4,Basic Fertilizer,100g,Improves soil quality a little increasing your chance to grow quality crops. Mix into tilled soil.
4,Quality Fertilizer,150g,Improves soil quality increasing your chance to grow quality crops. Mix into tilled soil.
4,Basic Retaining Soil,100g,This soil has a chance of staying watered overnight. Mix into tilled soil.
4,Quality Retaining Soil,150g,This soil has a good chance of staying watered overnight. Mix into tilled soil.
4,Speed Gro,100g,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.
4,Deluxe Speed Gro,150g,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.
4,Wallpaper,100g,Decorates the walls of one room.
4,Flooring,100g,Decorates the floor of one room.
4,Cherry Sapling,3400g,Takes 28 days to produce a mature Cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding tiles are empty.
4,Apricot Sapling,2000g,Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding tiles are empty.
4,Orange Sapling,4000g,Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding tiles are empty.
4,Peach Sapling,6000g,Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding tiles are empty.
4,Pomegranate Sapling,6000g,Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding tiles are empty.
4,Apple Sapling,4000g,Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding tiles are empty.
4,Catalogue,30000g,Provides unlimited access to all wallpapers and floors.
4,Dehydrator Recipe,10000g,A simple recipe to make a Dehydrator.
4,Bouquet,200g,A flower arrangement.